NewIDseqName,OldIDseqName,czbiohub-mosquito_sequences_id,host,sample_type,nucleotide_type,collection_date,collection_lat,collection_long,Habitat,Population,collected_by,preservation_method,sex,life_stage,visual_genus,visual_species,sourmash_genus,sourmash_species,ska_genus,ska_species,blood_fed,sample_unit,known_organism,detection_method,library_prep,sequencer,rna_dna_input_ng,library_prep_batch,extraction_batch,Notes:,Genus_test,Species_test,read1,read2
CMS001_001_Ra_S1,CMS_001_RNA_A_S1,CMS_001_RNA_A_S1,mosquito,whole,RNA,2017-10-03T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,,Culex,erythrothorax,Culex,erythrothorax,Culex,erythrothorax,blood fed,1,,,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,27.3,,,,1,1,s3://czb-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_001_RNA_A_S1_R1_001.fastq.gz,s3://czb-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_001_RNA_A_S1_R2_001.fastq.gz
CMS001_002_Ra_S1,CMS_002_RNA_A_S1,CMS_002_RNA_A_S1,mosquito,whole,RNA,2017-09-21T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,,Culex,tarsalis,Culex,tarsalis,Culex,tarsalis,blood fed,1,,,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,59.8,,,,1,1,s3://czb-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_002_RNA_A_S1_R1_001.fastq.gz,s3://czb-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_002_RNA_A_S1_R2_001.fastq.gz
CMS001_003_Ra_S2,CMS_003_RNA_A_S2,CMS_003_RNA_A_S2,mosquito,whole,RNA,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,,Culiseta,particeps,Culiseta,particeps,Culiseta,particeps,blood fed,1,,,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,88.9,,,,1,1,s3://czb-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_003_RNA_A_S2_R1_001.fastq.gz,s3://czb-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_003_RNA_A_S2_R2_001.fastq.gz
CMS001_004_Ra_S2,CMS_004_RNA_A_S2,CMS_004_RNA_A_S2,mosquito,whole,RNA,2017-09-12T00:00:00Z,37.7152,-122.19431000000002, Industrial (waste water treatment plant),Urban,ALCO,CO2,female,,Culex,pipiens,Culex,pipiens,Culex,pipiens,blood fed,1,,,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,88.4,,,,1,1,s3://czb-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_004_RNA_A_S2_R1_001.fastq.gz,s3://czb-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_004_RNA_A_S2_R2_001.fastq.gz
CMS001_005_Ra_S3,CMS_005_RNA_A_S3,CMS_005_RNA_A_S3,mosquito,whole,RNA,2017-09-29T00:00:00Z,37.78886,-122.29903,Residential,Suburban,ALCO,CO2,female,,Culiseta,incidens,Culiseta,incidens,Culiseta,incidens,blood fed,1,,,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,240.7,,,,1,1,s3://czb-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_005_RNA_A_S3_R1_001.fastq.gz,s3://czb-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_005_RNA_A_S3_R2_001.fastq.gz
CMS001_006_Ra_S5,CMS_001_06_S5,CMS_006_RNA_A_S5,mosquito,whole,RNA,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,,Culex,erythrothorax,Culex,erythrothorax,Culex,erythrothorax,blood fed,1,,,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,32.5,,,,1,1,s3://czb-seqbot/fastqs/180810_A00111_0186_AH7G3JDSXX/rawdata/Kalani_Ratnasiri/CMS_001_16_S5_L001_R1_001.fastq.gz,s3://czb-seqbot/fastqs/180810_A00111_0186_AH7G3JDSXX/rawdata/Kalani_Ratnasiri/CMS_001_16_S5_L001_R2_001.fastq.gz
CMS001_007_Ra_S12,CMS_007_RNA_A_S12,CMS_007_RNA_A_S12,mosquito,whole,RNA,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,,Culex,erythrothorax,Culex,erythrothorax,Culex,erythrothorax,blood fed,1,,,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,62.0,,,,1,1,s3://czb-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_007_RNA_A_S12_R1_001.fastq.gz,s3://czb-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_007_RNA_A_S12_R2_001.fastq.gz
CMS001_008_Ra_S3,CMS_008_RNA_A_S3,CMS_008_RNA_A_S3,mosquito,whole,RNA,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,,Culiseta,particeps,Culiseta,particeps,Culiseta,particeps,blood fed,1,,,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,150.0,,,,1,1,s3://czb-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_008_RNA_A_S3_R1_001.fastq.gz,s3://czb-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_008_RNA_A_S3_R2_001.fastq.gz
CMS001_009_Ra_S13,CMS_009_RNA_A_S13,CMS_009_RNA_A_S13,mosquito,whole,RNA,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,,Culiseta,particeps,Culiseta,particeps,Culiseta,particeps,blood fed,1,,,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,93.0,,,,1,1,s3://czb-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_009_RNA_A_S13_R1_001.fastq.gz,s3://czb-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_009_RNA_A_S13_R2_001.fastq.gz
CMS001_010_Ra_S1,CMS_010_RNA_A_S1,CMS_010_RNA_A_S1,mosquito,whole,RNA,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,,Culex,erythrothorax,Culex,erythrothorax,Culex,erythrothorax,blood fed,1,,,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,14.7,,,,1,1,s3://czb-seqbot/fastqs/180417_NB501961_0099_AHWNYNAFXX/rawdata/CMS_010_RNA_A_S1_R1_001.fastq.gz,s3://czb-seqbot/fastqs/180417_NB501961_0099_AHWNYNAFXX/rawdata/CMS_010_RNA_A_S1_R2_001.fastq.gz
CMS001_011_Ra_S4,CMS_011_RNA_A_S4,CMS_011_RNA_A_S4,mosquito,whole,RNA,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,,Culex,erythrothorax,Culex,erythrothorax,Culex,erythrothorax,blood fed,1,,,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,55.0,,,,1,1,s3://czb-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_011_RNA_A_S4_R1_001.fastq.gz,s3://czb-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_011_RNA_A_S4_R2_001.fastq.gz
CMS001_012_Ra_S4,CMS_012_RNA_A_S4,CMS_012_RNA_A_S4,mosquito,whole,RNA,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,,Aedes,dorsalis,Aedes,dorsalis,Aedes,dorsalis,blood fed,1,,,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,86.1,,,,1,1,s3://czb-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_012_RNA_A_S4_R1_001.fastq.gz,s3://czb-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_012_RNA_A_S4_R2_001.fastq.gz
CMS001_013_Ra_S5,CMS_013_RNA_A_S5,CMS_013_RNA_A_S5,mosquito,whole,RNA,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Suburban,ALCO,CO2,female,,Culex,erythrothorax,Culex,erythrothorax,Culex,erythrothorax,blood fed,1,,,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,37.2,,,,1,1,s3://czb-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_013_RNA_A_S5_R1_001.fastq.gz,s3://czb-seqbot/fastqs/180412_NB501961_0097_AHLMLMBGX5/rawdata/CMS_013_RNA_A_S5_R2_001.fastq.gz
CMS001_014_Ra_S5,CMS_014_RNA_A_S5,CMS_014_RNA_A_S5,mosquito,whole,RNA,2017-10-06T00:00:00Z,37.58191,-122.04838,Marsh,Suburban,ALCO,CO2,female,,Culiseta,incidens,Culiseta,incidens,Culiseta,particeps,blood fed,1,,,NEBNext Ultra II Directional RNA Library Prep Kit,NextSeq ,65.0,,,,1,1,s3://czb-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_009_RNA_A_S13_R1_001.fastq.gz,s3://czb-seqbot/fastqs/180323_NB501961_0089_AHLN5JBGX5/rawdata/CMS_009_RNA_A_S13_R2_001.fastq.gz
